TITLE: Bill of Materials,,,,,,,,,,,,,,,,,,,
DATE: 07/14/2023,,,,,,,,,,,,,,,,,,,
DESIGN: ek_ra8d1,,,,,,,,,,,,,,,,,,,
TEMPLATE: J:\ACLib\ree_site\cdssetup\bom\ree_all_v1.0.bom,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Qty,CATEGORY,PART_NUMBER,VALUE,DESCRIPTION,JEDEC_TYPE,Ref Des,REMARKS,MECH_KIT1,TOLERANCE,OPERATING_VOLTAGE,POWER_RATING,MANUFACTURER_PRIMARY,MANUFACTURER_PRIMARY_ORDER_CODE,DISTRIBUTOR_PRIMARY,DISTRIBUTOR_PRIMARY_ORDER_CODE,MANUFACTURER_SECONDARY,MANUFACTURER_SECONDARY_ORDER_CODE,DISTRIBUTOR_SECONDARY,DISTRIBUTOR_SECONDARY_ORDER_CODE
1,"CONNECTOR,Interface",161-10007394,ZX62D-B-5PA8_30,USB-microBUSB2.0 Receptacle Connector 5Position Surface Mount RightAngle ThroughHole,HIR_ZX62D-B-5PA8_30,J10, , , , ,?,HiroseElectronicsCoLtd,ZX62D-B-5PA8(30),Digi-KeyCorporation,H125718TR-ND, , , , 
2,"CONNECTOR,Interface",161-10006756,629105150921_,USB Connectors 5P MALE RECEPTACLE Micro AB TopMnt,MIC_USB_WR,"J11,J31", , , , ,?,we-online,629105150921_, , , , , , 
3,"CONNECTOR,Board-Board,Board-Cable",160-10007400,HDR3way 2.00mm,"header, 3way component",N031PAEN-RC,"J7,J8,J12", , , , ,?,SullinsConnectorSolutions,NRPN031PAEN-RC,Digi-KeyCorporation,S5800-03-ND, , , , 
1,"CONNECTOR,Board-Board,Board-Cable",160-10007395,HDR10way-pin7omitted,"ConnectorHeaderSurfaceMount10position0.050(1.27mm),pin7omitted",FTSH-105-01-007-DV-K,J13, , , , ,?,SAMTEC,FTSH-105-01-L-DV-007-K,Digi-KeyCorporation,SAM9438-ND, , , , 
5,"CONNECTOR,Board-Board,Board-Cable",160-10007399,HDR2way2.00mm,ConnectorHeaderThroughHole2position2.00mm,N021PAEN-RC,"J6,J9,J15,J16,J17", , , , ,?,SullinsConnectorSolutions,NRPN021PAEN-RC,Digi-KeyCorporation,S5800-02-ND, , , , 
2,"CONNECTOR, Board-Board, Board-Cable",160-10004346,socket 8way,"socket, 8way,1row,vertical,",1X8X2_54_S,"J18,J23", , , , ,?,Wuerth Elektronik,613 008 118 21, , , , , , 
1,"CONNECTOR, Board-Board, Board-Cable",160-10004344,socket 6way,"socket, 6way,1row,vertical,",1X6X2_54_S,J19, , , , ,?,Wuerth Elektronik,613 006 118 21, , , , , , 
1,"CONNECTOR, Board-Board, Board-Cable",160-10007217,FTSH-110-01-L-DV-007-K 20-way,SMD MICRO Header,SAM_FTSH_110_01_L_DV_007_K,J20, , , , ,?,SAMTEC,FTSH-110-01-L-DV-007-K,Digikey,FTSH-110-01-L-DV-007-K, , , , 
2,"CONNECTOR,Board-Board,Board-Cable",160-10007396,SKT8way2.54mm,8PositionSocketConnectorThroughHole,TE_5-535541-6,"J21,J22", , , , ,?,TYCOELECTRONICS,5-535541-6,Digi-KeyCorporation,A32921-ND, , , , 
1,"CONNECTOR, Board-Board, Board-Cable",160-10004348,socket 10way,"socket, 10way,1row,vertical,",1X10X2_54_S,J24, , , , ,?,Wuerth Elektronik,613 010 118 21, , , , , , 
2,"CONNECTOR, Board-Board, Board-Cable",160-10005307,socket 12way Pmod_if,"socket, 12way,2row,right-angle,Pmod Interface",2X6X2_54_DIGILENT_HOST,"J25,J26", , , , ,?,SAMTEC,SSW-106-02-T-D-RA,Farnell,1803941, , , , 
2,"CONNECTOR,Board-Board,Board-Cable",160-10007397,110990037_,GROVE2mm4pinR/A,SEE_4PIN_RA_110990037,"J27,J28", , , , ,?,SeeedTechnology,110990037_,Digi-KeyCorporation,1597-1083-ND, , , , 
1,"CONNECTOR,Board-Board,Board-Cable",160-10007398,HDR8way2.00mm,ConnectorHeaderThroughHole8position2.00mm,N042PAEN-RC,J29, , , , ,?,SullinsConnectorSolutions,NRPN042PAEN-RC,Digi-KeyCorporation,S5801-04-ND, , , , 
1,"CONNECTOR,Board-Board,Board-Cable",160-10007416,SM04B-SRSS-TB,"header,4way,1row,horizontal,QWIIC",JST_SM04B-SRSS-TBLFSN,J30, , , , ,?,JSTSalesAmericaInc,SM04B-SRSS-TB(LF)(SN),Digi-KeyCorporation,455-1804-2-ND, , , , 
